zone_id,lat_grid,lon_grid,total_locations,avg_location_score,rescaled_score,restaurant_count,business_count,bus_stop_count,divvy_station_count,population_total_cell,zone_class_mode,geom,geojson,centroid
16,41.66,-87.56,5,30,49,2,3,0,0,64355,B3-1,"POLYGON((-87.56 41.66, -87.55 41.66, -87.55 41.67, -87.56 41.67, -87.56 41.66))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.56, 41.66], [-87.55, 41.66], [-87.55, 41.67], [-87.56, 41.67], [-87.56, 41.66] ] ] } ",POINT(-87.5550000000276 41.6649999789092)
136,41.74,-87.55,53,26,42,25,12,13,3,3053758,B1-2,"POLYGON((-87.55 41.74, -87.54 41.74, -87.54 41.75, -87.55 41.75, -87.55 41.74))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.55, 41.74], [-87.54, 41.74], [-87.54, 41.75], [-87.55, 41.75], [-87.55, 41.74] ] ] } ",POINT(-87.5450000000074 41.7449999785979)
139,41.75,-87.73,9,31,51,1,3,5,0,175628,RS-2,"POLYGON((-87.73 41.75, -87.72 41.75, -87.72 41.76, -87.73 41.76, -87.73 41.75))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.73, 41.75], [-87.72, 41.75], [-87.72, 41.76], [-87.73, 41.76], [-87.73, 41.75] ] ] } ",POINT(-87.724999999986 41.7549999785479)
161,41.76,-87.71,8,25,40,1,1,5,1,223700,PD 881,"POLYGON((-87.71 41.76, -87.7 41.76, -87.7 41.77, -87.71 41.77, -87.71 41.76))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.71, 41.76], [-87.7, 41.76], [-87.7, 41.77], [-87.71, 41.77], [-87.71, 41.76] ] ] } ",POINT(-87.7049999999833 41.764999978508)
177,41.76,-87.55,5,25,40,1,1,2,1,92048,RM-5,"POLYGON((-87.55 41.76, -87.54 41.76, -87.54 41.77, -87.55 41.77, -87.55 41.76))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.55, 41.76], [-87.54, 41.76], [-87.54, 41.77], [-87.55, 41.77], [-87.55, 41.76] ] ] } ",POINT(-87.5449999999967 41.7649999785003)
192,41.77,-87.63,40,25,40,3,17,19,1,580840,C1-2,"POLYGON((-87.63 41.77, -87.62 41.77, -87.62 41.78, -87.63 41.78, -87.63 41.77))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.63, 41.77], [-87.62, 41.77], [-87.62, 41.78], [-87.63, 41.78], [-87.63, 41.77] ] ] } ",POINT(-87.6249999999577 41.7749999784886)
193,41.77,-87.62,82,24,39,35,22,23,2,3223098,B3-1,"POLYGON((-87.62 41.77, -87.61 41.77, -87.61 41.78, -87.62 41.78, -87.62 41.77))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.62, 41.77], [-87.61, 41.77], [-87.61, 41.78], [-87.62, 41.78], [-87.62, 41.77] ] ] } ",POINT(-87.6150000000155 41.7749999784898)
198,41.77,-87.57,65,28,46,29,19,15,2,2245662,B1-3,"POLYGON((-87.57 41.77, -87.56 41.77, -87.56 41.78, -87.57 41.78, -87.57 41.77))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.57, 41.77], [-87.56, 41.77], [-87.56, 41.78], [-87.57, 41.78], [-87.57, 41.77] ] ] } ",POINT(-87.5649999999992 41.7749999785069)
250,41.8,-87.74,35,31,51,15,9,10,1,1862516,B3-1,"POLYGON((-87.74 41.8, -87.73 41.8, -87.73 41.81, -87.74 41.81, -87.74 41.8))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.74, 41.8], [-87.73, 41.8], [-87.73, 41.81], [-87.74, 41.81], [-87.74, 41.8] ] ] } ",POINT(-87.7350000000098 41.8049999783721)
269,41.81,-87.73,57,32,53,39,13,4,1,4734028,B3-1,"POLYGON((-87.73 41.81, -87.72 41.81, -87.72 41.82, -87.73 41.82, -87.73 41.81))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.73, 41.81], [-87.72, 41.81], [-87.72, 41.82], [-87.73, 41.82], [-87.73, 41.81] ] ] } ",POINT(-87.7249999999987 41.8149999782591)
285,41.82,-87.72,12,24,39,4,2,5,1,546234,M3-3,"POLYGON((-87.72 41.82, -87.71 41.82, -87.71 41.83, -87.72 41.83, -87.72 41.82))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.72, 41.82], [-87.71, 41.82], [-87.71, 41.83], [-87.72, 41.83], [-87.72, 41.82] ] ] } ",POINT(-87.7150000000179 41.8249999782386)
314,41.84,-87.7,47,26,42,21,7,16,3,2393864,C1-2,"POLYGON((-87.7 41.84, -87.69 41.84, -87.69 41.85, -87.7 41.85, -87.7 41.84))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.7, 41.84], [-87.69, 41.84], [-87.69, 41.85], [-87.7, 41.85], [-87.7, 41.84] ] ] } ",POINT(-87.6949999999978 41.8449999781621)
350,41.86,-87.62,62,46,72,41,9,9,3,1779551,DX-5,"POLYGON((-87.62 41.86, -87.61 41.86, -87.61 41.87, -87.62 41.87, -87.62 41.86))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.62, 41.86], [-87.61, 41.86], [-87.61, 41.87], [-87.62, 41.87], [-87.62, 41.86] ] ] } ",POINT(-87.6149999999883 41.8649999780693)
353,41.87,-87.76,33,27,44,9,10,13,1,906528,M2-2,"POLYGON((-87.76 41.87, -87.75 41.87, -87.75 41.88, -87.76 41.88, -87.76 41.87))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.76, 41.87], [-87.75, 41.87], [-87.75, 41.88], [-87.76, 41.88], [-87.76, 41.87] ] ] } ",POINT(-87.755000000005 41.8749999780875)
373,41.88,-87.73,70,28,46,26,28,15,1,1952532,B3-2,"POLYGON((-87.73 41.88, -87.72 41.88, -87.72 41.89, -87.73 41.89, -87.73 41.88))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.73, 41.88], [-87.72, 41.88], [-87.72, 41.89], [-87.73, 41.89], [-87.73, 41.88] ] ] } ",POINT(-87.7249999999867 41.8849999780288)
402,41.9,-87.78,3,28,46,1,1,1,0,126436,B1-1,"POLYGON((-87.78 41.9, -87.77 41.9, -87.77 41.91, -87.78 41.91, -87.78 41.9))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.78, 41.9], [-87.77, 41.9], [-87.77, 41.91], [-87.78, 41.91], [-87.78, 41.9] ] ] } ",POINT(-87.7749999999993 41.9049999779135)
432,41.91,-87.68,189,44,72,138,31,14,6,11699297,B3-2,"POLYGON((-87.68 41.91, -87.67 41.91, -87.67 41.92, -87.68 41.92, -87.68 41.91))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.68, 41.91], [-87.67, 41.91], [-87.67, 41.92], [-87.68, 41.92], [-87.68, 41.91] ] ] } ",POINT(-87.6750000000251 41.9149999778723)
552,41.97,-87.69,160,38,63,116,27,13,4,11331749,B3-2,"POLYGON((-87.69 41.97, -87.68 41.97, -87.68 41.98, -87.69 41.98, -87.69 41.97))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.69, 41.97], [-87.68, 41.97], [-87.68, 41.98], [-87.69, 41.98], [-87.69, 41.97] ] ] } ",POINT(-87.6850000000128 41.9749999776442)
593,41.99,-87.7,80,30,49,39,23,15,3,2546216,B3-2,"POLYGON((-87.7 41.99, -87.69 41.99, -87.69 42, -87.7 42, -87.7 41.99))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.7, 41.99], [-87.69, 41.99], [-87.69, 42], [-87.7, 42], [-87.7, 41.99] ] ] } ",POINT(-87.6949999999999 41.9949999774919)
77,41.71,-87.62,37,27,44,14,11,11,1,1668100,B3-1,"POLYGON((-87.62 41.71, -87.61 41.71, -87.61 41.72, -87.62 41.72, -87.62 41.71))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.62, 41.71], [-87.61, 41.71], [-87.61, 41.72], [-87.62, 41.72], [-87.62, 41.71] ] ] } ",POINT(-87.6150000000072 41.7149999786763)
151,41.75,-87.61,82,26,42,29,36,15,2,3920512,B3-2,"POLYGON((-87.61 41.75, -87.6 41.75, -87.6 41.76, -87.61 41.76, -87.61 41.75))","{ ""type"": ""Polygon"", ""coordinates"": [ [ [-87.61, 41.75], [-87.6, 41.75], [-87.6, 41.76], [-87.61, 41.76], [-87.61, 41.75] ] ] } ",POINT(-87.6050000000041 41.7549999785367)
